Price,Price
Ticker,SHY
Date,
2003-01-02,53.461082458496094
2003-01-03,53.467647552490234
2003-01-06,53.43504333496094
2003-01-07,53.47416305541992
2003-01-08,53.51976776123047
2003-01-09,53.4220085144043
2003-01-10,53.49373245239258
2003-01-13,53.480613708496094
2003-01-14,53.50021743774414
2003-01-15,53.51976776123047
2003-01-16,53.552364349365234
2003-01-17,53.53935241699219
2003-01-21,53.60456085205078
2003-01-22,53.64360809326172
2003-01-23,53.61106491088867
2003-01-24,53.60456085205078
2003-01-27,53.60456085205078
2003-01-28,53.61760711669922
2003-01-29,53.571903228759766
2003-01-30,53.63711166381836
2003-01-31,53.62413024902344
2003-02-03,53.59269332885742
2003-02-04,53.651485443115234
2003-02-05,53.63191223144531
2003-02-06,53.658050537109375
2003-02-07,53.70378875732422
2003-02-10,53.66459274291992
2003-02-11,53.68418884277344
2003-02-12,53.7298698425293
2003-02-13,53.77558898925781
2003-02-14,53.7298698425293
2003-02-18,53.710304260253906
2003-02-19,53.73649215698242
2003-02-20,53.769039154052734
2003-02-21,53.723289489746094
2003-02-24,53.74945068359375
2003-02-25,53.78209686279297
2003-02-26,53.80821990966797
2003-02-27,53.80821990966797
2003-02-28,53.83435821533203
2003-03-03,53.85198974609375
2003-03-04,53.8454704284668
2003-03-05,53.8912353515625
2003-03-06,53.91084289550781
2003-03-07,53.96316909790039
2003-03-10,54.015411376953125
2003-03-11,53.96967697143555
2003-03-12,53.93043899536133
2003-03-13,53.76700210571289
2003-03-14,53.81932067871094
2003-03-17,53.753929138183594
2003-03-18,53.7081298828125
2003-03-19,53.69508743286133
2003-03-20,53.760494232177734
2003-03-21,53.623199462890625
2003-03-24,53.7408332824707
2003-03-25,53.7408332824707
2003-03-26,53.806304931640625
2003-03-27,53.81932067871094
2003-03-28,53.8912353515625
2003-03-31,53.93043899536133
2003-04-01,53.91867446899414
2003-04-02,53.85972213745117
2003-04-03,53.89249038696289
2003-04-04,53.87946319580078
2003-04-07,53.84669876098633
2003-04-08,53.89905548095703
2003-04-09,53.93177032470703
2003-04-10,53.85972213745117
2003-04-11,53.83359146118164
2003-04-14,53.78772735595703
2003-04-15,53.82701110839844
2003-04-16,53.83359146118164
2003-04-17,53.78772735595703
2003-04-21,53.82044982910156
2003-04-22,53.81389617919922
2003-04-23,53.85320281982422
2003-04-24,53.90554428100586
2003-04-25,53.95792007446289
2003-04-28,53.94485092163086
2003-04-29,53.90554428100586
2003-04-30,54.016868591308594
2003-05-01,54.016868591308594
2003-05-02,53.95784378051758
2003-05-05,53.997196197509766
2003-05-06,54.07588577270508
2003-05-07,54.088966369628906
2003-05-08,54.06277084350586
2003-05-09,54.04965591430664
2003-05-12,54.088966369628906
2003-05-13,54.07588577270508
2003-05-14,54.108673095703125
2003-05-15,54.088966369628906
2003-05-16,54.14804458618164
2003-05-19,54.16109085083008
2003-05-20,54.23326873779297
2003-05-21,54.16109085083008
2003-05-22,54.18076705932617
2003-05-23,54.200469970703125
2003-05-27,54.18076705932617
2003-05-28,54.213558197021484
2003-05-29,54.23326873779297
2003-05-30,54.213558197021484
2003-06-02,54.18535614013672
2003-06-03,54.29042434692383
2003-06-04,54.33633041381836
2003-06-05,54.30352783203125
2003-06-06,54.29042434692383
2003-06-09,54.36262893676758
2003-06-10,54.42169189453125
2003-06-11,54.3823356628418
2003-06-12,54.41510772705078
2003-06-13,54.46110916137695
2003-06-16,54.395416259765625
2003-06-17,54.3166618347168
2003-06-18,54.32320022583008
2003-06-19,54.375728607177734
2003-06-20,54.36262893676758
2003-06-23,54.41510772705078
2003-06-24,54.45452117919922
2003-06-25,54.342899322509766
2003-06-26,54.24441909790039
2003-06-27,54.257568359375
2003-06-30,54.30352783203125
2003-07-01,54.30486297607422
2003-07-02,54.33119201660156
2003-07-03,54.271976470947266
2003-07-07,54.25886154174805
2003-07-08,54.23908615112305
2003-07-09,54.25224685668945
2003-07-10,54.29824447631836
2003-07-11,54.31795883178711
2003-07-14,54.271976470947266
2003-07-15,54.20625686645508
2003-07-16,54.21278381347656
2003-07-17,54.17990493774414
2003-07-18,54.17338180541992
2003-07-21,54.08132553100586
2003-07-22,54.13393020629883
2003-07-23,54.1601676940918
2003-07-24,54.15366744995117
2003-07-25,54.17990493774414
2003-07-28,54.10762023925781
2003-07-29,54.06163024902344
2003-07-30,54.08785629272461
2003-07-31,54.028751373291016
2003-08-01,53.97081756591797
2003-08-04,54.056419372558594
2003-08-05,53.957664489746094
2003-08-06,54.01033020019531
2003-08-07,54.069557189941406
2003-08-08,54.08271789550781
2003-08-11,54.01033020019531
2003-08-12,54.10246276855469
2003-08-13,53.99715805053711
2003-08-14,53.984031677246094
2003-08-15,54.023494720458984
2003-08-18,54.01689910888672
2003-08-19,54.08271789550781
2003-08-20,54.043212890625
2003-08-21,53.96427917480469
2003-08-22,53.95110321044922
2003-08-25,53.924720764160156
2003-08-26,53.984031677246094
2003-08-27,53.93134689331055
2003-08-28,54.01033020019531
2003-08-29,54.00374984741211
2003-09-02,53.93325424194336
2003-09-03,53.972740173339844
2003-09-04,54.04529571533203
2003-09-05,54.22978210449219
2003-09-08,54.16389846801758
2003-09-09,54.256126403808594
2003-09-10,54.28911209106445
2003-09-11,54.24953079223633
2003-09-12,54.295631408691406
2003-09-15,54.34836196899414
2003-09-16,54.3549919128418
2003-09-17,54.34836196899414
2003-09-18,54.295631408691406
2003-09-19,54.295631408691406
2003-09-22,54.31542205810547
2003-09-23,54.328643798828125
2003-09-24,54.361572265625
2003-09-25,54.3681640625
